04;01;aleksandrowski;powiat;01.01.2024
20;01;augustowski;powiat;01.01.2024
28;01;bartoszycki;powiat;01.01.2024
10;01;bełchatowski;powiat;01.01.2024
24;01;będziński;powiat;01.01.2024
06;01;bialski;powiat;01.01.2024
06;61;Biała Podlaska;miasto na prawach powiatu;01.01.2024
14;01;białobrzeski;powiat;01.01.2024
32;01;białogardzki;powiat;01.01.2024
20;02;białostocki;powiat;01.01.2024
20;61;Białystok;miasto na prawach powiatu;01.01.2024
20;03;bielski;powiat;01.01.2024
24;02;bielski;powiat;01.01.2024
24;61;Bielsko-Biała;miasto na prawach powiatu;01.01.2024
24;14;bieruńsko-lędziński;powiat;01.01.2024
18;01;bieszczadzki;powiat;01.01.2024
06;02;biłgorajski;powiat;01.01.2024
12;01;bocheński;powiat;01.01.2024
02;01;bolesławiecki;powiat;01.01.2024
28;02;braniewski;powiat;01.01.2024
04;02;brodnicki;powiat;01.01.2024
12;02;brzeski;powiat;01.01.2024
16;01;brzeski;powiat;01.01.2024
10;21;brzeziński;powiat;01.01.2024
18;02;brzozowski;powiat;01.01.2024
26;01;buski;powiat;01.01.2024
04;03;bydgoski;powiat;01.01.2024
04;61;Bydgoszcz;miasto na prawach powiatu;01.01.2024
24;62;Bytom;miasto na prawach powiatu;01.01.2024
22;01;bytowski;powiat;01.01.2024
06;62;Chełm;miasto na prawach powiatu;01.01.2024
04;04;chełmiński;powiat;01.01.2024
06;03;chełmski;powiat;01.01.2024
30;01;chodzieski;powiat;01.01.2024
22;02;chojnicki;powiat;01.01.2024
24;63;Chorzów;miasto na prawach powiatu;01.01.2024
32;02;choszczeński;powiat;01.01.2024
12;03;chrzanowski;powiat;01.01.2024
14;02;ciechanowski;powiat;01.01.2024
24;03;cieszyński;powiat;01.01.2024
30;02;czarnkowsko-trzcianecki;powiat;01.01.2024
24;64;Częstochowa;miasto na prawach powiatu;01.01.2024
24;04;częstochowski;powiat;01.01.2024
22;03;człuchowski;powiat;01.01.2024
24;65;Dąbrowa Górnicza;miasto na prawach powiatu;01.01.2024
12;04;dąbrowski;powiat;01.01.2024
18;03;dębicki;powiat;01.01.2024
32;03;drawski;powiat;01.01.2024
28;03;działdowski;powiat;01.01.2024
02;02;dzierżoniowski;powiat;01.01.2024
28;61;Elbląg;miasto na prawach powiatu;01.01.2024
28;04;elbląski;powiat;01.01.2024
28;05;ełcki;powiat;01.01.2024
14;03;garwoliński;powiat;01.01.2024
22;61;Gdańsk;miasto na prawach powiatu;01.01.2024
22;04;gdański;powiat;01.01.2024
22;62;Gdynia;miasto na prawach powiatu;01.01.2024
28;06;giżycki;powiat;01.01.2024
24;66;Gliwice;miasto na prawach powiatu;01.01.2024
24;05;gliwicki;powiat;01.01.2024
02;03;głogowski;powiat;01.01.2024
16;02;głubczycki;powiat;01.01.2024
30;03;gnieźnieński;powiat;01.01.2024
32;04;goleniowski;powiat;01.01.2024
04;05;golubsko-dobrzyński;powiat;01.01.2024
28;18;gołdapski;powiat;01.01.2024
12;05;gorlicki;powiat;01.01.2024
08;01;gorzowski;powiat;01.01.2024
08;61;Gorzów Wielkopolski;miasto na prawach powiatu;01.01.2024
14;04;gostyniński;powiat;01.01.2024
30;04;gostyński;powiat;01.01.2024
02;04;górowski;powiat;01.01.2024
20;04;grajewski;powiat;01.01.2024
14;05;grodziski;powiat;01.01.2024
30;05;grodziski;powiat;01.01.2024
14;06;grójecki;powiat;01.01.2024
04;62;Grudziądz;miasto na prawach powiatu;01.01.2024
04;06;grudziądzki;powiat;01.01.2024
32;05;gryficki;powiat;01.01.2024
32;06;gryfiński;powiat;01.01.2024
20;05;hajnowski;powiat;01.01.2024
06;04;hrubieszowski;powiat;01.01.2024
28;07;iławski;powiat;01.01.2024
04;07;inowrocławski;powiat;01.01.2024
06;05;janowski;powiat;01.01.2024
30;06;jarociński;powiat;01.01.2024
18;04;jarosławski;powiat;01.01.2024
18;05;jasielski;powiat;01.01.2024
24;67;Jastrzębie-Zdrój;miasto na prawach powiatu;01.01.2024
02;05;jaworski;powiat;01.01.2024
24;68;Jaworzno;miasto na prawach powiatu;01.01.2024
02;61;Jelenia Góra;miasto na prawach powiatu;01.01.2024
26;02;jędrzejowski;powiat;01.01.2024
30;07;kaliski;powiat;01.01.2024
30;61;Kalisz;miasto na prawach powiatu;01.01.2024
02;07;kamiennogórski;powiat;01.01.2024
32;07;kamieński;powiat;01.01.2024
02;06;karkonoski;powiat;01.01.2024
22;05;kartuski;powiat;01.01.2024
24;69;Katowice;miasto na prawach powiatu;01.01.2024
26;03;kazimierski;powiat;01.01.2024
16;03;kędzierzyńsko-kozielski;powiat;01.01.2024
